Othref,Time,Inhib,Space,Posemo,Self,Social,Humans,Sports,Other,Music,Swear,Discrep,Nonfl,You,Cause,Sexual,Achieve,Relig,Cogmech,We,Senses,Eating,Optim,Incl,Leisure,Job,Hear,Preps,Affect,Excl,Home,Friends,Present,Body,School,Comm,Physcal,I,Groom,Tentat,Up,Motion,Negate,Future,Death,Article,Fillers,Family,Pronoun,Metaph,Feel,Certain,Insight,Assent,Number,Sad,Past,Down,See,TV,Sleep,Money,Anger,Posfeel,Anx,Negemo,Occup
collega,oorsprong,afgewacht,centimeter,verwachten,wijzelf,bemoedig*,kleintje,fietst,hem,gitarist,domkop,verwachten,euhm,jullie,oorsprong,prostituee,concurrentie,protestants,wisten,wijzelf,betasten,aten,verwachten,met,gitarist,voorzitter,luister*,zonder,verwachten,zonder,thuis,vrienden,verwachten,slagader,klasgenoten,bemoedig*,slagader,mijzelf,gewassen,verwachten,westelijk,naderde,ontkenden,gewenst,crematorium,het,ha,kleindochter,wijzelf,protestants,betasten,ongetwijfeld,wisten,accepteer,negenen*,schadelijk,wisten,verlaagd,leest,beroemd,gedroomd,afdingen,terroriseren,liefhebbend,getobd,fout,voorzitter
wijzelf,generatie,onverzettelijk,vlakbij,elegant,onszelf,deelt,baby's,gespeeld,hen,orkestbak,stommerik,moet*,uhm,uw,bewezen,zoende,wint,Christus,verwachten,onszelf,proefden,slik*,heldin,eveneens,orkestbak,concurrentie,horen,met,fout,hoewel,honk,vriendinnen,bemoedig*,baarmoeder,toets,deelt,baarmoeder,mij,scheerkwast,verwarde,west,inpakken,zonder,zou,sterf,de,hah,stiefmoeders,hem,Christus,pijnloos,duidelijk,meende,aannemelijk,kwartaal,waardeloos,behoedden,verlaagt,fraai,komiek,slapen,investeerden,vervloekt,aanbad,verwarde,schadelijk,klasgenoten
hem,ontstaan,gemeden,dichtbij,verrassing,mijzelf,bemoedigt,mens,gejogd,zij,danst,goddomme,gewenst,hm*,Jij,ontstaan,genitaal,won,zonden,oorsprong,wij,leest,proefden,aangemoedigd,alles,thuis,machtig,bijeengeroepen,langs,schadelijk,uitgesloten,gepoetst,verloofde,zet*,bloeddruk,doctoraal,bemoedigt,bloeddruk,ikzelf,gepoetst,geloofde,westelijke,binnengekomen,ontkenning,wenst,overledene,een,haha,stiefdochters,hen,zonden,knelden,gegarandeerd,analyseren,beamen,achtste,berusting,getobd,verlaag,zag,vermaak,inslapen,geldautomaat,jenden,bewonderde,geschrokken,getobd,concurrentie
hen,einde,verdediging,zuid,heldin,mij,kleindochter,team,training,zijzelf,gezongen,schoft,hopen,eum,jouw,ontstaat,liefhebben,bekroning,gebed,bewezen,ons,smakelijk,smakelijk,sterk,inbegrepen,fietst,concurreert,geruis,wegens,getobd,uitgezonderd,dakterras,geliefde,deelt,wang,presentatie,opmerking,aten,ik,schoren,vermoeden,hoger,hol*,herroept,zal,crematie,,goh,zusters,iemand,gebed,voelen,exact,vergaarde,orde,twee,jank,gemaakt,beneden,visueel,videoclip,wekken,profiteerden,onenigheid,vergiffenis,terroriseren,verwarde,machtig
iemand,voordien,ontzegden,plaats,aangemoedigd,wij,opmerking,meneer,hockey,ze,musicus,lesbo,zou,uh,je,bewijst,geliefde,concurreert,aanbad,verwarde,onze,fraai,slikt,fantastisch,binnenin,gespeeld,presentatie,bepraten,te,verwarde,ofschoon,woont,vriend,bemoedigt,hoofdpijn,mathematisch,aangemoedigd,slik*,mijn,poetste,onbestendig,bovenop,neemt,nimmer,wou,lijkkist,,tja,grootmoeder,jullie,aanbad,duwen,helder,geloofde,prima,zesde,geboet,bewezen,verlaagde,verschijning,televisie,comateus,kapitaal,gewalgd,intens,onbestendig,geschrokken,wint
jullie,tijdig,begrensde,nauwsluitend,liefhebbend,ikzelf,aangemoedigd,massa,train*,haarzelf,zongen,teef,verlangend,zz*,u,verantwoordde,geslachtsdelen,vergen,peetoom,meende,,luister*,gewicht,durven,waaronder,danst,ambtenaar,klinkt,vanwege,geschrokken,exclusief,poetste,buren,betasten,pijnloos,hogeschool,onderbreking,proefden,me,scheerschuim,verwarren,hoog,fietst,weerleggen,zouden,doodgeslagen,,bla,schoonzussen,uw,peetoom,tasten,besluit,heroverwegen,verleende,negenmaal,gefaald,verwarde,verlaagden,observeer,video,vermoeid,salaris,bekritiseren,vergeven,verwarren,zonden,toets
uw,volgende,verlegenheid,mijlenver,sterk,ons,onderbreking,meisje,traint,men,trommelen,sodemieter,gemoeten,zucht,jou,veroorzaakt,knuffelde,verbetering,eeuwigheid,analyseren,,horen,geslikt,trotseerde,binnen,gezongen,werkloos,klink*,door,zonden,uitzondering,schoonmaak,vriendinnetje,analyseren,knie,professor,betrek*,gedroomd,mijne,schoonmaak,probeerden,hoogte,inleveren,niets,willen,dood,,,schoonvader,Jij,eeuwigheid,merk*,eeuwig,vergaart,juist,negental,leeg,geschrokken,lager,lees,toneelspeelster,rust,waardeloos,onverzettelijk,genieten,forceerde,schreeuwden,doctoraal
Jij,daarna,bedwong,zuidelijke,ontzagwekkend,ik,betrek*,mensen,voetbal,hijzelf,instrument,trut,wenst,wel,,bewijs,sekse,gefaald,gebedenboek,afgewacht,,pijnloos,verhongerde,trotseerden,samen,honk,carrière,luistert,aan,elegant,uitsluiting,televisie,logé,terroriseren,schouders,leraar,betrekt,slapen,,wast,besluiteloos,westwaarts,nader*,verwierp,zullen,sterfelijk,,,oudoom,niets,crematorium,knuffelde,totaal,vermoeden,aanvaard,achtvoud,leed,meende,dieper,aangekeken,soap,nachtmerrie,aangeschaft,verdediging,liefhebben,verlegenheid,onderbreking,won
zij,eeuwigheid,inhouden,ver,verwelkomden,onze,stiefmoeders,baby,gymnastiek,hun,uitgegaan,idioot,tegenstrijdig,,,geïmpliceerd,lesbisch,kampioenschap,zegen,vergaarde,,zag,klaargemaakt,aanmoediging,extra,gejogd,salaris,klinken,tegenover,verrassing,noch,flatgebouw,vriendinnetjes,vervloekt,verslikken,leren,verwelkomden,smakelijk,,parfum,soort,verhogen,nadert,desondanks,wenste,overlijd*,,,broers,zij,sterf,merkt,ooit,vergaard,verleenden,tweeen*,machteloos,afgewacht,onder,gelezen,komedie,ingeslapen,uitkering,bitter,opgemonterd,benauwen,terroriseren,bekroning
